id,pdfs
ZYDUSLIFE,"['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=09ef84d9-f00a-4a59-a65c-dfc08c6a8f2c.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b4e2412e-5014-4fad-a445-9f1dbb9b6a68.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8d51e91a-d8c2-4c4c-8cba-793347efe82a.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c981c621-5263-4aa4-b5d7-7582cd88d42a.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0533cc54-e6fb-49e6-987e-274d99427117.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a151171a-fd75-41a3-9658-52e0ee7004e7.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a893fa39-e70c-45d7-ba8e-635912729413.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cf2c1a8d-f37d-4548-aeec-208a1cfd8b69.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=227e52c4-b7fb-4ea8-9dc0-03896160ad4d.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=06cdb660-125b-4f94-94bc-fad399ef4362.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=da0b0954-1e8a-476c-97d5-9d01ce2fac30.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL_Q4_FY21_Transcript_converted.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL_Q3_FY21_Transcript.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL_Q2_FY21_Transcript.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL-Q1-FY21-Transcript.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL-Q4-FY20-Transcript.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CadilaHealthcareQ3_2019-20ResultsConference_Call.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CadilaHealthcareQ2_2019-20ResultsConference_Call.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CadilaHealthcare_Q1_2019-20ResultsConference_Call.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL-Q4-FY-19-Transcript.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL-Q4-FY18-Transcript.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL-Transcript-Q1-FY18-Final.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL-Transcript-Q3-FY17.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL-Transcript-Q2-FY17-Final.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL-Transcript-Q4-15-16.pdf']"
ZOMATO,"['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ab4d167b-7e75-4bf8-a51d-71a903cd7870.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7da5b3a3-3d33-4ce2-82a2-e73a3e0bf30c.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ad64f987-2b66-4f48-b34a-27830808808c.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fe1ebfa8-add9-4261-ac59-9c43fc04f781.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e836f935-4e9f-407d-8310-30b3adee3446.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=15cb6fe9-5581-43c2-88b1-1e03e1c6f3da.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e8befb4f-c985-4ce2-bb3e-e24876afa9b0.pdf']"
WIPRO,"['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=46c6a646-a20e-4dcd-b4ab-05c524bb7404.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1d67449a-6242-45f2-84a5-70475a295099.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=65e63fd1-a45a-4675-95f9-5e654d9806a2.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7bc5af06-3488-4992-8e45-f32de629e14c.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=684229a6-febc-4042-a5e8-ecf3682c031b.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ea5f274e-405d-4f56-bc1e-7391525a7675.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=40960ec6-6d02-471c-b7be-87653f6940e9.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=381f5bbe-a815-4111-a34c-a06dd296fd0e.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d64977fb-201e-44b4-a1f7-a1797befa57d.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=79e44af5-cb0f-4130-81a2-8d00bc37159d.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=acc971fb-e768-4468-9894-ddf4fd2e8809.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2021-2022/q1fy22/wipro-limited-q1-fy22-quarterly-investor-conference-call-transcript.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=23754b6e-6108-4c5a-a5fd-936005a448f8.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2020-2021/q4fy21/wipro-limited-q4-fy21-quarterly-investor-conference-call-transcript.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2020-2021/q3fy21/wipro-limited-q3-fy21-quarterly-investor-conference-call.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2020-2021/q2fy21/wipro-limted-q2-fy21-earnings-call.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2020-2021/q1fy20/wipro-limted-q1-fy21-earnings-call.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=609dc75e-6f01-4c5b-9a67-158d455bab61.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2019-2020/q4fy20/wipro-earning-call-transcript-q4-fy20.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2019-2020/q3fy20/wipro-earning-call-transcript-q3-fy20.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2019-2020/q2fy20/wipro-earning-call-transcript-q2-fy20.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2019-2020/q1fy20/wipro-earning-call-transcript-q1-fy20.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2018-2019/q4fy19/transcripts-conference-call-q4-fy19.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2018-2019/q3fy19/transcripts-conference-call-q3-fy19.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2018-2019/q2fy19/transcripts-conference-call-q2-fy19.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2017-2018/q4fy18/wipro-earning-call-transcript-q4-fy18.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2017-2018/q3fy18/transcripts-conference-call.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2017-2018/Q2/wipro-earnings-call-transcript-oct17-2017.pdf']"
