id,pdfs
ZYDUSLIFE,"['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=09ef84d9-f00a-4a59-a65c-dfc08c6a8f2c.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b4e2412e-5014-4fad-a445-9f1dbb9b6a68.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8d51e91a-d8c2-4c4c-8cba-793347efe82a.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c981c621-5263-4aa4-b5d7-7582cd88d42a.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0533cc54-e6fb-49e6-987e-274d99427117.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a151171a-fd75-41a3-9658-52e0ee7004e7.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a893fa39-e70c-45d7-ba8e-635912729413.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cf2c1a8d-f37d-4548-aeec-208a1cfd8b69.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=227e52c4-b7fb-4ea8-9dc0-03896160ad4d.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=06cdb660-125b-4f94-94bc-fad399ef4362.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=da0b0954-1e8a-476c-97d5-9d01ce2fac30.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL_Q4_FY21_Transcript_converted.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL_Q3_FY21_Transcript.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL_Q2_FY21_Transcript.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL-Q1-FY21-Transcript.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL-Q4-FY20-Transcript.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CadilaHealthcareQ3_2019-20ResultsConference_Call.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CadilaHealthcareQ2_2019-20ResultsConference_Call.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CadilaHealthcare_Q1_2019-20ResultsConference_Call.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL-Q4-FY-19-Transcript.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL-Q4-FY18-Transcript.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL-Transcript-Q1-FY18-Final.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL-Transcript-Q3-FY17.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL-Transcript-Q2-FY17-Final.pdf', 'https://www.zyduscadila.com/public/pdf/teleconferences/CHL-Transcript-Q4-15-16.pdf']"
ZOMATO,"['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ab4d167b-7e75-4bf8-a51d-71a903cd7870.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7da5b3a3-3d33-4ce2-82a2-e73a3e0bf30c.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ad64f987-2b66-4f48-b34a-27830808808c.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fe1ebfa8-add9-4261-ac59-9c43fc04f781.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e836f935-4e9f-407d-8310-30b3adee3446.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=15cb6fe9-5581-43c2-88b1-1e03e1c6f3da.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e8befb4f-c985-4ce2-bb3e-e24876afa9b0.pdf']"
WIPRO,"['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=46c6a646-a20e-4dcd-b4ab-05c524bb7404.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1d67449a-6242-45f2-84a5-70475a295099.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=65e63fd1-a45a-4675-95f9-5e654d9806a2.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7bc5af06-3488-4992-8e45-f32de629e14c.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=684229a6-febc-4042-a5e8-ecf3682c031b.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ea5f274e-405d-4f56-bc1e-7391525a7675.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=40960ec6-6d02-471c-b7be-87653f6940e9.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=381f5bbe-a815-4111-a34c-a06dd296fd0e.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d64977fb-201e-44b4-a1f7-a1797befa57d.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=79e44af5-cb0f-4130-81a2-8d00bc37159d.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=acc971fb-e768-4468-9894-ddf4fd2e8809.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2021-2022/q1fy22/wipro-limited-q1-fy22-quarterly-investor-conference-call-transcript.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=23754b6e-6108-4c5a-a5fd-936005a448f8.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2020-2021/q4fy21/wipro-limited-q4-fy21-quarterly-investor-conference-call-transcript.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2020-2021/q3fy21/wipro-limited-q3-fy21-quarterly-investor-conference-call.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2020-2021/q2fy21/wipro-limted-q2-fy21-earnings-call.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2020-2021/q1fy20/wipro-limted-q1-fy21-earnings-call.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=609dc75e-6f01-4c5b-9a67-158d455bab61.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2019-2020/q4fy20/wipro-earning-call-transcript-q4-fy20.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2019-2020/q3fy20/wipro-earning-call-transcript-q3-fy20.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2019-2020/q2fy20/wipro-earning-call-transcript-q2-fy20.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2019-2020/q1fy20/wipro-earning-call-transcript-q1-fy20.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2018-2019/q4fy19/transcripts-conference-call-q4-fy19.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2018-2019/q3fy19/transcripts-conference-call-q3-fy19.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2018-2019/q2fy19/transcripts-conference-call-q2-fy19.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2017-2018/q4fy18/wipro-earning-call-transcript-q4-fy18.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2017-2018/q3fy18/transcripts-conference-call.pdf', 'https://www.wipro.com/content/dam/nexus/en/investor/quarterly-results/2017-2018/Q2/wipro-earnings-call-transcript-oct17-2017.pdf']"
VEDL,"['https://www.vedantalimited.com/uploads/investor-overview/financial-results/Transcript_VEDL_Earnings_Call_2QFY24.pdf', 'https://www.vedantalimited.com/uploads/investor-overview/financial-results/VEDL_Call_Transcript_1QFY24.pdf', 'https://www.vedantalimited.com/uploads/investor-overview/financial-results/Transcript_VEDL_4QFY23.pdf', 'https://www.vedantalimited.com/uploads/investor-overview/financial-results/3QFY23_VEDL%20Earnings%20Call%20Transcript%2027Jan-2023.pdf', 'https://www.vedantalimited.com/uploads/investor-overview/financial-results/Transcript_Vedanta-Earnings-Oct28-2022.pdf', 'https://www.vedantalimited.com/uploads/investor-overview/financial-results/Call-Transcript-Q1FY23.pdf', 'https://www.vedantalimited.com/InvestorReports/Vedanta-Earnings-July26-2021_vf.pdf', 'https://www.vedantalimited.com/InvestorReports/VedantaLtd-Earnings-Jan29-2021.pdf', 'https://www.vedantalimited.com/InvestorReports/Vedanta-Earnings-Nov06-2020.pdf', 'https://www.vedantalimited.com/InvestorReports/Vedanta-Earnings-Transcript_June08-2020.pdf', 'https://www.vedantalimited.com/InvestorReports/Vedanta-Earnings-Transcript_Jan31-2020.pdf', 'https://www.vedantalimited.com/InvestorReports/Vedanta-Earnings-Transcript_Nov14-2019.pdf', 'https://www.vedantalimited.com/InvestorReports/Vedanta-Earnings-Transcript_July26-2019.pdf', 'https://www.vedantalimited.com/InvestorReports/Earnings%20Transcript_FY19.pdf', 'https://www.vedantalimited.com/InvestorReports/VedantaLtd-Earnings-Jan31-2019_updatedf.pdf', 'https://www.vedantalimited.com/InvestorReports/Vedanta-Earnings-Oct31-2018_vF.pdf', 'https://www.vedantalimited.com/InvestorReports/vedanta-earningscall-jul31-2018.pdf', 'https://www.vedantalimited.com/InvestorReports/vedanta-earningscall-may03-2018_vf.pdf', 'https://www.vedantalimited.com/InvestorReports/vedanta-earnings-jan31-2018_transcript_vf.pdf', 'https://www.vedantalimited.com/InvestorReports/vedantaltd-earnings_call_transcript.pdf', 'https://www.vedantalimited.com/InvestorReports/vedantaltd-earnings-july25-2017_v1.pdf', 'https://www.vedantalimited.com/InvestorReports/15-may-17.pdf', 'https://www.vedantalimited.com/InvestorReports/vedanta-earnings-apr28-2016.pdf', 'https://www.vedantalimited.com/InvestorReports/vedanta-earnings-28jan-2016_transcript.pdf']"
VBL,"['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0139816d-659a-4747-8c97-f7e1864e37fa.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=898de4fc-baf9-4fc6-b9cc-5c6efdb5bb5d.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0e951f66-b47d-4901-8d57-c7b51ec2edb7.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8cede8bb-e986-4974-8b68-83b61092f706.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e96fa52a-839c-4e8f-966e-f370c5b47a0e.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e7f9790f-f4b4-4e94-a751-2a39aaf14cf9.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3e1faa18-6022-478f-b017-4bb412fa1171.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=dc6ec365-d3c1-4d4c-9336-d8cbf99cfa29.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f1ba519b-9e77-436c-980f-153d5f062bd8.pdf', 'https://varunpepsi.com/wp-content/uploads/2021/09/VBL-Q3-CY21-Call-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2021/08/VBL-Q2-H1-2021-Call-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2021/05/VBL-Q1-CY21-Call-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2021/03/VBL-Q4-CY20-Call-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2020/11/VBL-Q3-CY2020-Concall-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2020/08/VBL-Q2-2020-Earnings-Call-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2020/05/VBL-Q1-2020-Earnings-Call-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2020/02/VBL-Q4-2019-Earnings-Call-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2019/11/VBL-Q3-2019-Earnings-Call-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2019/09/VBL-Q2-2019-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2019/08/VBL-Q1-2019-Earnings-Call-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2019/04/VBL-Q4-2018-Earnings-Call-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2018/11/VBL-Q3-9M-2018-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2018/08/VBL-Q2-CY2018-Earnings-Call-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2018/05/VBL-Q1-CY2018-Earnings-Call-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2018/03/VBL-Q4-CY2017-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2017/11/VBL-Q3-9M-CY2017-Earnings-Call-Transcript-1.pdf', 'https://varunpepsi.com/wp-content/uploads/2017/08/Varun-Beverages-Limited-%E2%80%93-Q2-H1-CY-2017-Earnings-Call-Transcript.pdf', 'https://varunpepsi.com/wp-content/uploads/2017/05/VBL-Q1-CY2017-Earnings-Call-Transcript.pdf']"
UPL,"['https://www.upl-ltd.com/financial_result_and_report_pdfs/0ussbQSi5IxleJvTMVGTsuI6rIRn4OmYGia3kAX4/UPL-Q2FY24-Earnings-Concall-Transcript--30Oct23.pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/fFJLcMaZDOEQBJKLVwzGWSq6LqX0kVl103mJkPFv/Q1FY24-Concall-Transcript.pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/o4ebOoY5lFDj6FanD9XR2812AoPSOiOob7JNl0k2/Capital-Markets-Day-2023-Transcripts.pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/mcUQqDQwgVV1hWMHYm9bWMBuYoDnMNgRyFMhZvRz/UPL---Q3FY23-Concall-Transcript.pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/xJGQU1fBWqYFGuPSi2ek78vHmIfNHIatDM19d7BH/Transcipt_UPL-Limited-01Nov2022.pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/ulRI9S83UXo1CVz7bVfqdUT8d3H6gx14RzuIDIAs/UPL-Ltd---Q1FY23-Earnings-Concall-Transcript.pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/37qJGcwx0mb4o6mHkH3DL4cVTsdrmNN02LIOxHIq/UPL-CMD-22-Transcript.pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/lGSBMHtcJUuN51oe3h8ptEabapFNGFqKuyiAVzkE/UPL---Earnings-Transcript---31-Jan-2022.pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/JLahDV1cuqkxpFDB5p0ehQ1dVAC3zAYyA3QPYIVZ/UPL-Earnings-Transcript-29-Oct-2021.pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/JQsuTR0LPBFSOg6THGj9ZGTKkKqLW5lxkZEpiaWC/UPL-Earnings-Transcript-30-July-2021.pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/muKt4hhCQgFzCuaBq54AdBXbyMg2ZarGs8aU5KXw/Transcript_Final.pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/8bd3hvexFulC9NELc4U3jVAd4JPp29b7IqaROTW0/UPLLimited-Earnings-29Jan2021.pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/o1o5npQagkYUEbKvbDtK83hLFETjN4Cqe51fkjGb/Earnings-Call-Invite-&-Transcript-(Q2-20-21).pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/oBxPZ1PeV5tuWhMw3mhCXAMMhfK4nsU51BNzvhkL/UPL-Ltd-Earnings-July31-2020_Transcript-(Q1-20-21).pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/VS8ymUlJg85CUFf2mtkKoyplUfe1HB7gvdvm7WI3/Q3-FY-2020-Earnings-Call-Transcript-(Q3-19-20).pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/imm1QNJXOQZGfTWF3XjvVecvDlNb3YWxNKrmdDCY/Q2-FY-2020-Earnings-Call-Transcript-(Q2-19-20).pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/NcKlBcpri7ETAjMz5w5f6vP5fMbJ1S3J3qPNEtHD/Q1-FY-2019-20-Earnings-Call-Transcript-(Q1-19-20).pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/OlfHvltO6mUo6gY9DsU5ivff1KUDR2IXAZtQOZua/Q3-FY-2018-19-Earnings-Call-Transcript-(2018-19-Q3).pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/x6KJCDdjgxDwXrPmNatwRyMGILA0eARVrZmVGyf9/UPL-Con-call-Transcripts---FY18-19-Q2---dated-26-October-2018-(Q2-18-19).pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/uFh7hH67K2DXziXe1gptdDEKYyDZfMQrwYgSNfce/UPL-Con-call-Transcripts-FY18-19-Q1-dated-31-July-2018-(Q1-18-19).pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/BxMqsn7sAzv4jU1SrRmBrW1GcgugnikCrFozNlqY/UPL_Con_call_Transcripts_FY17_18_Q3_dated_25_January_2018-(Q3-17-18).pdf', 'https://www.upl-ltd.com/financial_result_and_report_pdfs/Bo1Rtvj3f0oC8AxWUVzT5nPfMEBYaSXUN2JzZmu4/UPL_Con_call_Transcripts_FY17_18_Q2_dated_30_October_2017-(Q2-17-18).pdf']"
ULTRACEMCO,"['https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9ed37865-67c8-40ff-b6be-2cc9876144b4.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=86accf40-1599-4ba0-b862-200552ba7aa9.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7007d1c8-6e4e-482f-9b5f-9d5546ff5047.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=24a7004b-87d7-4015-8316-5dbe54bd8cc2.pdf', 'https://www.ultratechcement.com/content/dam/ultratechcementwebsite/pdf/financials/earnings-call/ultratech-cement-earnings-call-transcript-jan23-2023.pdf', 'https://stockdiscovery.s3.amazonaws.com/insight/india/4499/Conference%20Call/CC-Jun22.pdf', 'https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1e42fe9a-9cf9-4681-b2e6-03ab0150084a.pdf', 'https://www.ultratechcement.com/content/dam/ultratechcementwebsite/pdf/financials/earnings-call/EarningscallTranscriptQ1FY22.pdf', 'https://www.ultratechcement.com/content/dam/ultratechcementwebsite/pdf/financials/earnings-call/UltraTech%20Earnings%20Call%20Transcript%2023%20Jan%202021.pdf']"
